speed,lateralSpeed,trackPosition,trackEdge_3,trackEdge_6,trackEdge_9,trackEdge_12,trackEdge_15,angleToTrackAxis,action_accelerate,action_brake,action_clutch,action_gear,action_steering,action_focus
0,0,0,200,200,200,200,200,0,0.000000,0.000000,0.000000,1,0.000000,360
0.000304208,0.00128985,-0.333363,8.50521,14.7754,200,7.24756,4.21388,0.0089286,1.000000,0.000000,0.000000,1,0.000000,360
0.000304208,0.00128985,-0.333363,8.50521,14.7754,200,7.24756,4.21388,0.0089286,1.000000,0.000000,0.000000,1,0.000000,360
0.000304208,0.00128985,-0.333363,8.50521,14.7754,200,7.24756,4.21388,0.0089286,1.000000,0.000000,0.000000,1,0.000000,360
0.000304208,0.00128985,-0.333363,8.50521,14.7754,200,7.24756,4.21388,0.0089286,1.000000,0.000000,0.000000,1,0.000000,360
0.000304208,0.00128985,-0.333363,8.50521,14.7754,200,7.24756,4.21388,0.0089286,1.000000,0.000000,0.000000,1,0.000000,360
0.157568,-0.0237839,-0.333385,8.51108,14.805,200,7.2331,4.21088,0.0100759,1.000000,0.000000,0.000000,1,0.000000,360
2.58063,-0.00560047,-0.333718,8.51568,14.8211,200,7.22307,4.20754,0.0105689,1.000000,0.000000,0.000000,1,0.000000,360
6.40038,-4.7746e-005,-0.334339,8.51871,14.8226,200,7.21852,4.20402,0.0104287,1.000000,0.000000,0.000000,1,0.000000,360
9.95654,-0.00121036,-0.334872,8.52067,14.8191,200,7.21676,4.20151,0.0101641,1.000000,0.000000,0.000000,1,0.000000,360
13.7928,0.000872067,-0.336581,8.5292,14.8232,200,7.20408,4.19158,0.00974638,1.000000,0.000000,0.000000,1,0.000000,360
17.9981,-0.000313048,-0.337646,8.5325,14.8135,200,7.20105,4.18643,0.00910074,1.000000,0.000000,0.000000,1,0.000000,360
22.934,-0.000261316,-0.339733,8.54163,14.8097,200,7.18925,4.17512,0.00833351,1.000000,0.000000,0.000000,1,0.000000,360
29.8873,-6.33877e-005,-0.341752,8.54838,14.7916,200,7.18289,4.16506,0.00717909,1.000000,0.000000,0.000000,1,0.000000,360
37.8243,-0.000242844,-0.343972,8.55454,14.7629,200,7.17988,4.15472,0.00573904,1.000000,0.000000,0.000000,1,0.000000,360
47.0427,-0.000243613,-0.346014,8.55641,14.7093,200,7.18699,4.14688,0.00371772,1.000000,0.000000,0.000000,1,0.000000,360
50.9833,-0.000123854,-0.347878,8.5514,14.6079,200,7.21274,4.14264,0.000684086,1.000000,0.000000,0.000000,2,0.000000,360
54.6622,-0.000760699,-0.346902,8.52326,14.4609,200,7.28737,4.15885,-0.00322884,1.000000,0.000000,0.000000,1,0.000000,360
60.0215,-0.000724764,-0.34314,8.46977,14.3075,200,7.42615,4.19686,-0.00837105,1.000000,0.000000,0.000000,1,0.000000,360
63.5914,-0.000343318,-0.33414,8.37172,14.1313,200,7.61594,4.27919,-0.0167238,1.000000,0.000000,0.000000,2,0.000000,360
69.5537,-5.78045e-005,-0.324951,8.3056,14.0153,200,7.73846,4.3465,-0.0231934,1.000000,0.000000,0.000000,2,0.000000,360
75.2568,2.993e-005,-0.30795,8.19902,13.8354,200,7.93335,4.45597,-0.0231931,1.000000,0.000000,0.000000,2,0.000000,360
81.8433,-6.6027e-005,-0.287931,8.07353,13.6237,200,8.16284,4.58487,-0.0231928,1.000000,0.000000,0.000000,2,0.000000,360
88.637,-2.57581e-006,-0.265958,7.93579,13.3912,200,8.41473,4.72635,-0.0231932,1.000000,0.000000,0.000000,2,0.000000,360
95.5682,-7.87694e-005,-0.24201,7.78567,13.1379,200,8.68925,4.88054,-0.0231927,1.000000,0.000000,0.000000,2,0.000000,360
97.7121,0.00178553,-0.220037,7.64827,12.9072,200,8.93984,5.02178,-0.0231136,1.000000,0.000000,0.000000,3,0.000000,360
101.619,0.000134484,-0.194647,7.48911,12.6387,200,9.23079,5.18524,-0.0231089,1.000000,0.000000,0.000000,3,0.000000,360
106.166,-0.000111471,-0.167791,7.32076,12.3546,200,9.53859,5.35815,-0.0231085,1.000000,0.000000,0.000000,3,0.000000,360
110.79,5.28402e-006,-0.140181,7.14768,12.0624,200,9.85506,5.53591,-0.0231088,1.000000,0.000000,0.000000,3,0.000000,360
