speed,lateralSpeed,trackPosition,trackEdge_0,trackEdge_1,trackEdge_2,trackEdge_3,trackEdge_4,trackEdge_5,trackEdge_6,trackEdge_7,trackEdge_8,trackEdge_9,trackEdge_10,trackEdge_11,trackEdge_12,trackEdge_13,trackEdge_14,trackEdge_15,trackEdge_16,trackEdge_17,trackEdge_18,angleToTrackAxis,action_accelerate,action_brake,action_clutch,action_gear,action_steering,action_focus
2.23255,-9.8454e-005,-0.333651,7.33557,7.4613,7.83251,8.5129,9.64047,11.5083,14.8089,21.5387,40.0491,200,20.9521,10.524,7.22942,5.64316,4.74788,4.20897,3.8866,3.71521,3.66516,0.0101226,1.000000,0.000000,0.000000,1,0.000000,360
2.92976,0.00142643,-0.333829,7.33643,7.46228,7.83357,8.51399,9.64158,11.5094,14.8104,21.5396,40.0467,200,20.9512,10.5217,7.22796,5.64187,4.74673,4.20788,3.88562,3.71423,3.66406,0.0100949,1.000000,0.000000,0.000000,1,0.000000,360
3.62734,0.00300373,-0.334051,7.33777,7.4635,7.83474,8.515,9.64289,11.5108,14.8116,21.5406,40.0463,200,20.9488,10.5194,7.22568,5.64021,4.7454,4.20681,3.8844,3.71301,3.66284,0.0100716,1.000000,0.000000,0.000000,1,0.000000,360
3.97357,-0.00274397,-0.334184,7.3385,7.46423,7.83526,8.51571,9.64328,11.5109,14.8109,21.538,40.0346,200,20.9568,10.5193,7.22542,5.63968,4.74466,4.20603,3.88367,3.71228,3.66211,0.00999529,1.000000,0.000000,0.000000,1,0.000000,360
4.31805,0.00243402,-0.334317,7.33911,7.46497,7.83615,8.51674,9.6447,11.513,14.8136,21.5421,40.046,200,20.9458,10.5161,7.22337,5.63816,4.74353,4.20503,3.88269,3.71143,3.66138,0.0100425,1.000000,0.000000,0.000000,1,0.000000,360
5.35023,-0.00179171,-0.334339,7.33911,7.46484,7.83598,8.51633,9.64364,11.5115,14.8103,21.534,40.0213,200,20.9655,10.519,7.22455,5.63877,4.7438,4.20511,3.88281,3.71143,3.66138,0.00993044,1.000000,0.000000,0.000000,1,0.000000,360
5.72878,0.0015889,-0.334317,7.33911,7.46484,7.83582,8.51617,9.64373,11.5112,14.8103,21.5329,40.019,200,20.9679,10.5194,7.22479,5.63886,4.7438,4.20536,3.88306,3.71155,3.6615,0.00992901,1.000000,0.000000,0.000000,1,0.000000,360
6.4172,0.00152322,-0.334273,7.33899,7.46436,7.83546,8.51542,9.64285,11.5099,14.8082,21.5278,40.0061,200,20.979,10.522,7.226,5.6397,4.74441,4.20578,3.8833,3.71191,3.66174,0.00988609,1.000000,0.000000,0.000000,1,0.000000,360
6.76151,-0.00152876,-0.334273,7.33887,7.46448,7.83541,8.51566,9.64273,11.5099,14.8081,21.5272,40.0046,200,20.9822,10.5223,7.22615,5.63955,4.74449,4.20568,3.88318,3.71179,3.66162,0.00988371,1.000000,0.000000,0.000000,1,0.000000,360
7.45021,-0.00149373,-0.334317,7.33911,7.46471,7.83554,8.51568,9.64288,11.5095,14.807,21.5231,39.9929,200,20.9918,10.5231,7.22603,5.63951,4.7444,4.20553,3.88293,3.71155,3.66138,0.00983364,1.000000,0.000000,0.000000,1,0.000000,360
8.14932,-0.00134397,-0.334406,7.3396,7.46518,7.83593,8.51583,9.64286,11.5093,14.806,21.5189,39.98,200,21.0011,10.5238,7.2262,5.63932,4.744,4.20527,3.88254,3.71106,3.66089,0.00977832,1.000000,0.000000,0.000000,1,0.000000,360
9.23215,0.00135693,-0.334606,7.3407,7.46617,7.83673,8.51639,9.64314,11.5094,14.8041,21.5119,39.958,200,21.0165,10.5243,7.22542,5.63821,4.74306,4.20409,3.88161,3.71008,3.65979,0.00967008,1.000000,0.000000,0.000000,1,0.000000,360
9.5988,-0.00157654,-0.334695,7.34106,7.46657,7.83738,8.51713,9.64377,11.5102,14.8046,21.5109,39.9546,200,21.0195,10.5233,7.22485,5.6375,4.74249,4.20358,3.88117,3.70959,3.6593,0.00965196,1.000000,0.000000,0.000000,1,0.000000,360
10.7084,-0.000680659,-0.33505,7.34314,7.46834,7.83898,8.51856,9.64514,11.5107,14.804,21.5045,39.93,200,21.0342,10.5228,7.22292,5.63585,4.74063,4.20185,3.87928,3.70764,3.65735,0.00951654,1.000000,0.000000,0.000000,1,0.000000,360
11.4681,0.000187219,-0.335338,7.34473,7.4698,7.84034,8.52038,9.64674,11.5125,14.8052,21.5028,39.9232,200,21.0398,10.5195,7.22027,5.63337,4.7386,4.20001,3.87752,3.70618,3.65588,0.00946314,1.000000,0.000000,0.000000,1,0.000000,360
12.2724,-0.00053313,-0.335693,7.34668,7.47183,7.84214,8.52202,9.64874,11.5142,14.8067,21.5015,39.9152,200,21.0452,10.5165,7.21729,5.63109,4.73638,4.19792,3.8756,3.70422,3.65381,0.0094021,1.000000,0.000000,0.000000,1,0.000000,360
13.0148,-0.000321376,-0.336093,7.34875,7.47392,7.84423,8.52398,9.65035,11.5157,14.8065,21.4961,39.8942,200,21.0581,10.5147,7.21477,5.62849,4.73391,4.1956,3.87351,3.70198,3.65161,0.00927192,1.000000,0.000000,0.000000,1,0.000000,360
13.7909,-0.00100843,-0.336537,7.35132,7.47622,7.84657,8.52624,9.65268,11.5182,14.8091,21.4947,39.8882,200,21.0609,10.5101,7.21122,5.62544,4.73125,4.19324,3.87095,3.69958,3.64929,0.00921041,1.000000,0.000000,0.000000,1,0.000000,360
14.214,0.000386014,-0.33667,7.35205,7.47691,7.84736,8.52688,9.65345,11.5189,14.8097,21.4936,39.8846,200,21.066,10.509,7.21023,5.62465,4.73044,4.19233,3.87041,3.69882,3.64844,0.00918895,1.000000,0.000000,0.000000,1,0.000000,360
15.0633,-0.000667941,-0.336737,7.35242,7.477,7.84732,8.5266,9.65263,11.517,14.8054,21.4809,39.8503,200,21.0935,10.5127,7.21135,5.62478,4.73071,4.19233,3.87011,3.69852,3.64819,0.00904113,1.000000,0.000000,0.000000,1,0.000000,360
15.8556,7.497e-005,-0.33687,7.35303,7.47766,7.8476,8.52696,9.65266,11.5165,14.8033,21.4726,39.8282,200,21.1161,10.5144,7.21114,5.62451,4.73001,4.19165,3.86951,3.698,3.64734,0.00893289,1.000000,0.000000,0.000000,1,0.000000,360
16.2901,2.46939e-006,-0.336958,7.35339,7.47815,7.8481,8.52725,9.65294,11.5165,14.8028,21.4693,39.8199,200,21.1249,10.5144,7.21099,5.62406,4.72948,4.19128,3.8689,3.69739,3.64685,0.00889188,1.000000,0.000000,0.000000,1,0.000000,360
16.7364,1.94116e-005,-0.337047,7.35413,7.47852,7.84855,8.5277,9.65324,11.516,14.8018,21.4651,39.8084,200,21.1372,10.515,7.2107,5.62366,4.72905,4.1908,3.86865,3.69702,3.64648,0.00883323,1.000000,0.000000,0.000000,1,0.000000,360
17.5982,-0.00012012,-0.337291,7.35547,7.47974,7.84952,8.52853,9.65366,11.5161,14.7998,21.4554,39.7821,200,21.161,10.516,7.20961,5.6225,4.72781,4.18958,3.86731,3.6958,3.64502,0.00869066,1.000000,0.000000,0.000000,1,0.000000,360
18.0163,-9.80388e-005,-0.337425,7.35608,7.48047,7.85011,8.5289,9.65405,11.516,14.7991,21.4502,39.7693,200,21.174,10.5166,7.20941,5.62198,4.7272,4.18898,3.86658,3.69495,3.64429,0.00862342,1.000000,0.000000,0.000000,1,0.000000,360
18.8777,-0.000175287,-0.337713,7.35767,7.48169,7.85138,8.52996,9.65465,11.5159,14.7973,21.4405,39.7429,200,21.2002,10.517,7.20829,5.62038,4.72583,4.18743,3.86511,3.69348,3.6427,0.00847274,1.000000,0.000000,0.000000,1,0.000000,360
19.8303,-6.54149e-005,-0.33809,7.35974,7.48364,7.85303,8.53165,9.65594,11.5168,14.7965,21.4317,39.721,200,21.2235,10.5156,7.20603,5.6184,4.72377,4.18539,3.86316,3.69141,3.64063,0.00833542,1.000000,0.000000,0.000000,1,0.000000,360
20.8514,0.000136418,-0.338512,7.36206,7.48572,7.85505,8.53357,9.65771,11.518,14.7962,21.423,39.6985,200,21.2486,10.5147,7.20346,5.6158,4.72128,4.18306,3.86084,3.68933,3.63831,0.0081876,1.000000,0.000000,0.000000,1,0.000000,360
21.8799,0.000199743,-0.338978,7.36462,7.48818,7.85727,8.53552,9.65953,11.5192,14.7953,21.4128,39.6727,200,21.2767,10.5128,7.20073,5.61297,4.71848,4.18046,3.85831,3.68665,3.63574,0.00801593,1.000000,0.000000,0.000000,1,0.000000,360
22.9333,3.68559e-005,-0.339511,7.36755,7.4908,7.85993,8.53783,9.66162,11.5209,14.7947,21.4021,39.6458,200,21.3075,10.5111,7.19738,5.61011,4.71551,4.17757,3.85557,3.68384,3.63269,0.00783426,1.000000,0.000000,0.000000,1,0.000000,360
23.4864,-5.51509e-005,-0.339755,7.3689,7.49216,7.86098,8.53881,9.66265,11.5209,14.7939,21.3963,39.6316,200,21.325,10.5107,7.19643,5.6086,4.71427,4.17644,3.85438,3.68262,3.63147,0.00774318,1.000000,0.000000,0.000000,1,0.000000,360
24.6621,-9.34268e-005,-0.339933,7.36987,7.49293,7.86155,8.539,9.66218,11.5197,14.7899,21.3794,39.5967,200,21.3718,10.5141,7.19682,5.60843,4.71363,4.17565,3.85345,3.68162,3.63049,0.0075658,1.000000,0.000000,0.000000,1,0.000000,360
25.9103,7.89081e-006,-0.340177,7.37109,7.494,7.86231,8.53953,9.66187,11.5182,14.7857,21.3617,39.5598,200,21.4195,10.5179,7.19713,5.60775,4.71294,4.17466,3.85237,3.68046,3.62915,0.00737602,1.000000,0.000000,0.000000,1,0.000000,360
26.5505,3.34127e-006,-0.340332,7.37195,7.49475,7.86282,8.54,9.6621,11.5179,14.7835,21.3526,39.5419,200,21.4424,10.5193,7.19702,5.60708,4.71234,4.17398,3.85161,3.6797,3.62817,0.00727684,1.000000,0.000000,0.000000,1,0.000000,360
27.1983,0.000131471,-0.34051,7.37292,7.49548,7.86348,8.54053,9.66237,11.5177,14.7817,21.3435,39.5231,200,21.4659,10.5199,7.19628,5.6062,4.71134,4.17297,3.85071,3.67883,3.62732,0.00716287,1.000000,0.000000,0.000000,1,0.000000,360
29.2123,4.03542e-005,-0.341109,7.37622,7.49829,7.86618,8.54246,9.66346,11.517,14.7763,21.3151,39.4684,200,21.5377,10.5226,7.19437,5.60366,4.70841,4.17012,3.84778,3.67554,3.62402,0.00680191,1.000000,0.000000,0.000000,1,0.000000,360
30.6332,-4.5081e-006,-0.341597,7.37891,7.50073,7.8681,8.54425,9.66467,11.5169,14.7726,21.295,39.4311,200,21.5863,10.5239,7.19269,5.60145,4.70604,4.16754,3.84509,3.6731,3.62134,0.00654775,1.000000,0.000000,0.000000,1,0.000000,360
31.3685,3.55407e-005,-0.341886,7.38062,7.5022,7.86944,8.54526,9.6656,11.517,14.771,21.2855,39.4129,200,21.6102,10.5244,7.19141,5.59981,4.70455,4.16606,3.84375,3.67151,3.61963,0.00641615,1.000000,0.000000,0.000000,1,0.000000,360
33.6753,-1.17932e-005,-0.342529,7.38403,7.50521,7.87201,8.54712,9.66619,11.5156,14.7633,21.2513,39.3498,200,21.6922,10.5297,7.19044,5.59721,4.70152,4.16304,3.8404,3.66821,3.61621,0.00600273,1.000000,0.000000,0.000000,1,0.000000,360
35.2895,-7.71726e-006,-0.342796,7.3855,7.50623,7.87264,8.54723,9.66522,11.5128,14.7554,21.225,39.3001,200,21.7561,10.537,7.19204,5.59735,4.70095,4.16216,3.83942,3.66696,3.61462,0.00570947,1.000000,0.000000,0.000000,1,0.000000,360
36.1197,-1.78249e-005,-0.342973,7.38647,7.50714,7.87323,8.54754,9.66516,11.5115,14.7517,21.2116,39.2767,200,21.7873,10.5399,7.19228,5.59675,4.70025,4.16121,3.83856,3.66592,3.61365,0.00555784,1.000000,0.000000,0.000000,1,0.000000,360
37.8227,-1.62468e-005,-0.34335,7.38843,7.50867,7.87446,8.54818,9.66476,11.5092,14.7436,21.1851,39.2274,200,21.8513,10.5465,7.19281,5.59601,4.69896,4.15985,3.83679,3.66406,3.61157,0.00524074,1.000000,0.000000,0.000000,1,0.000000,360
38.6949,-1.32117e-005,-0.343572,7.38977,7.50964,7.87513,8.54864,9.66463,11.508,14.7399,21.1719,39.203,200,21.8841,10.5497,7.193,5.5956,4.69812,4.15881,3.83582,3.66296,3.61035,0.00505907,1.000000,0.000000,0.000000,1,0.000000,360
40.4825,-8.16344e-006,-0.344061,7.39233,7.51196,7.87693,8.54968,9.66474,11.5061,14.7318,21.1454,39.1542,200,21.9473,10.5554,7.19286,5.59392,4.69599,4.15659,3.8335,3.66052,3.60767,0.00468284,1.000000,0.000000,0.000000,1,0.000000,360
41.3992,-5.49217e-006,-0.344327,7.39392,7.51306,7.87788,8.55038,9.66487,11.5049,14.7277,21.1323,39.129,200,21.9803,10.5587,7.19268,5.5932,4.69507,4.15538,3.83228,3.65906,3.6062,0.00448829,1.000000,0.000000,0.000000,2,0.000000,360
44.2061,2.7954e-006,-0.344771,7.39624,7.51467,7.87862,8.54979,9.66208,11.4981,14.7095,21.085,39.0416,200,22.0939,10.5759,7.19675,5.59393,4.69448,4.15417,3.8304,3.6571,3.60376,0.00387794,1.000000,0.000000,0.000000,2,0.000000,360
45.3905,-0.000613701,-0.345015,7.39758,7.51551,7.87857,8.54877,9.65945,11.4922,14.6945,21.0504,38.9742,200,22.1781,10.5907,7.20082,5.59535,4.69479,4.15372,3.82971,3.65585,3.60242,0.00341636,1.000000,0.000000,0.000000,2,0.000000,360
45.3614,-0.000480012,-0.345237,7.39893,7.51605,7.87828,8.5474,9.65645,11.4857,14.679,21.0159,38.9092,200,22.261,10.6067,7.20568,5.59695,4.69524,4.15363,3.82904,3.65503,3.6012,0.00295955,1.000000,0.000000,0.000000,2,0.000000,360
